"ee.Taxon","N","Definition"
"mouse",31,"helper T cell"
"human",31,"contractile cell"
"mouse",31,"CA1 field of hippocampus"
"mouse",31,"olfactory system"
"mouse",31,"chemosensory system"
"human",31,"morphological feature"
"human",31,"midbrain"
"rat",31,"digestive tract"
"rat",31,"subdivision of digestive tract"
"rat",31,"anatomical collection"
"human",31,"ecto-epithelial cell"
"mouse",31,"squamous epithelium"
"mouse",31,"sciatic nerve"
"mouse",31,"spinal nerve plexus"
"mouse",31,"lumbosacral nerve plexus"
"human",30,"respiratory epithelial cell"
"mouse",30,"gut wall"
"mouse",30,"olfactory bulb"
"mouse",30,"gland of diencephalon"
"mouse",30,"neuroendocrine gland"
"rat",30,"temporal lobe"
"human",30,"gyrus"
"rat",30,"hippocampal field"
"rat",30,"renal system"
"rat",30,"respiratory system"
"rat",30,"reproductive organ"
"mouse",30,"simple squamous epithelium"
"mouse",29,"nose"
"mouse",29,"olfactory organ"
"mouse",29,"gastrointestinal system mucosa"
"human",29,"mammary gland epithelial cell"
"human",29,"systemic arterial system"
"mouse",29,"ear"
"rat",29,"glial cell"
"rat",29,"neuron of cerebral cortex"
"rat",29,"cerebral cortex neuron"
"rat",29,"neuron of the forebrain"
"mouse",29,"immature T cell"
"rat",29,"epithelial cell"
"human",29,"mouth"
"human",29,"testis"
"rat",29,"sexually immature stage"
"rat",29,"kidney"
"rat",29,"alimentary part of gastrointestinal system"
"rat",29,"upper urinary tract"
"rat",29,"appendage"
"rat",29,"limb"
"rat",29,"paired limb/fin"
"rat",29,"appendage girdle complex"
"mouse",29,"squamous epithelial cell"
"mouse",29,"endothelial cell"
"human",29,"helper T cell"
"human",29,"neuroblast"
"rat",28,"camera-type eye"
"rat",28,"simple eye"
"rat",28,"eye"
"rat",28,"visual system"
"rat",28,"orbital region"
"mouse",28,"CD4-positive helper T cell"
"mouse",28,"tracheal mucosa"
"mouse",28,"upper respiratory tract"
"mouse",28,"respiratory system mucosa"
"mouse",28,"functional part of brain"
"mouse",28,"hypothalamic nucleus"
"mouse",28,"wall of intestine"
"mouse",28,"gastrocnemius"
"rat",28,"amygdala"
"rat",28,"glial cell (sensu Vertebrata)"
"mouse",28,"thymocyte"
"human",28,"reproductive system mucosa"
"rat",28,"muscle organ"
"rat",28,"muscle structure"
"rat",28,"skeletal muscle organ"
"rat",28,"skeletal musculature"
"mouse",28,"subdivision of skeletal system"
"rat",28,"connective tissue"
"mouse",28,"presumptive structure"
"human",28,"skin fibroblast"
"mouse",28,"fat pad"
"mouse",27,"neuroblast"
"mouse",27,"skin epidermis"
"mouse",27,"nasal cavity mucosa"
"mouse",27,"outer epithelium"
"mouse",27,"upper respiratory conduit"
"mouse",27,"olfactory apparatus chamber"
"mouse",27,"external integument structure"
"mouse",27,"intestinal mucosa"
"human",27,"sac"
"mouse",27,"female reproductive organ"
"human",27,"small intestine"
"human",27,"hemopoietic organ"
"human",27,"limb segment"
"human",27,"paired limb/fin segment"
"human",27,"subdivision of organism along appendicular axis"
"rat",27,"intestine"
"mouse",27,"vasculature of organ"
"rat",27,"respiratory tract"
"rat",27,"proximo-distal subdivision of respiratory tract"
"rat",27,"respiratory airway"
"rat",27,"limb segment"
"rat",27,"multi-limb segment region"
"rat",27,"paired limb/fin segment"
"rat",27,"subdivision of organism along appendicular axis"
"rat",27,"male reproductive system"
"rat",27,"male organism"
"human",27,"CD4-positive helper T cell"
"mouse",27,"muscle cell"
"human",27,"embryonic structure"
"mouse",26,"internal male genitalia"
"mouse",26,"male genital duct"
"mouse",26,"left cardiac chamber"
"human",26,"extraembryonic structure"
"mouse",26,"pituitary gland"
"mouse",26,"ovary"
"mouse",26,"olfactory segment of nasal mucosa"
"mouse",26,"dorsal plus ventral thalamus"
"human",26,"Ammon's horn"
"human",26,"adrenal gland"
"human",26,"adrenal/interrenal gland"
"human",26,"chromaffin system"
"human",26,"endometrium"
"human",26,"multi-limb segment region"
"rat",26,"posterior region of body"
"rat",26,"hindlimb"
"rat",26,"pelvic appendage"
"rat",26,"pelvic complex"
"human",26,"wall of large intestine"
"human",26,"mucosa of large intestine"
"rat",25,"hindbrain"
"rat",25,"brainstem"
"mouse",25,"islet of Langerhans"
"mouse",25,"endocrine pancreas"
"mouse",25,"digestive tract epithelium"
"human",25,"dorsum"
"human",25,"epithelial cell of tracheobronchial tree"
"human",25,"epithelial cell of lower respiratory tract"
"mouse",25,"germ cell"
"mouse",25,"somatic nervous system"
"mouse",25,"placenta"
"mouse",25,"midbrain tegmentum"
"mouse",25,"interneuron"
"mouse",25,"gray matter of hindbrain"
"human",25,"telencephalic nucleus"
"human",25,"dorsolateral prefrontal cortex"
"rat",25,"CA1 field of hippocampus"
"human",25,"epithelium of mucosa"
"rat",25,"male reproductive organ"
"human",25,"general ecto-epithelial cell"
"mouse",25,"endo-epithelial cell"
"rat",24,"segmental subdivision of nervous system"
"rat",24,"segmental subdivision of hindbrain"
"mouse",24,"epididymis"
"human",24,"muscle cell"
"mouse",24,"gastrointestinal system epithelium"
"mouse",24,"arterial blood vessel"
"mouse",24,"arterial system"
"human",24,"spinal cord"
"human",24,"dorsal region element"
"mouse",24,"heart left ventricle"
"mouse",24,"flexor muscle"
"mouse",24,"tibialis anterior"
"mouse",24,"tibialis"
"human",24,"bronchial epithelial cell"
"mouse",24,"atypical epithelium"
"human",24,"vein"
"human",24,"venous blood vessel"
"human",24,"venous system"
"human",24,"epithelial tube"
"rat",24,"leg"
"rat",24,"lower limb segment"
"human",24,"serous membrane"
"human",24,"stromal cell"
"mouse",24,"parenchyma"
"human",24,"umbilical cord blood"
"mouse",24,"granulocyte monocyte progenitor cell"
"mouse",24,"CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor"
"mouse",24,"hematopoietic oligopotent progenitor cell, lineage-negative"
"human",24,"sensory organ epithelium"
"mouse",24,"lymphoid lineage restricted progenitor cell"
"mouse",23,"foregut"
"mouse",23,"upper respiratory tract epithelium"
"mouse",23,"nasal cavity epithelium"
"mouse",23,"nose epithelium"
"mouse",23,"morphological feature"
"mouse",23,"intestinal epithelium"
"human",23,"layer of muscle tissue"
"human",23,"diencephalon"
"mouse",23,"regional part of spinal cord"
"mouse",23,"spinal cord segment"
"mouse",23,"sensory epithelium"
"human",23,"placenta"
"rat",23,"gonad"
"human",23,"pluripotent stem cell"
"human",23,"neutrophil"
"mouse",22,"single nucleate cell"
"mouse",22,"gyrus"
"mouse",22,"receptor cell"
"mouse",22,"internal ear"
"mouse",22,"olfactory epithelium"
"human",22,"central nervous system neuron"
"human",22,"midbrain nucleus"
"rat",22,"immune system"
"mouse",22,"innate lymphoid cell"
"human",22,"embryo stage"
"mouse",22,"common myeloid progenitor"
"mouse",22,"striated muscle cell"
"human",22,"epidermal cell"
"human",22,"hematopoietic oligopotent progenitor cell"
"rat",21,"eyeball of camera-type eye"
"mouse",21,"mononuclear cell"
"mouse",21,"oviduct"
"mouse",21,"subdivision of oviduct"
"mouse",21,"midbrain nucleus"
"human",21,"Brodmann area"
"human",21,"substantia nigra"
"rat",21,"prefrontal cortex"
"rat",21,"ventral striatum"
"rat",21,"telencephalic nucleus"
"mouse",21,"natural killer cell"
"mouse",21,"group 1 innate lymphoid cell"
"rat",21,"lower respiratory tract"
"rat",21,"motile cell"
"mouse",21,"blood cell"
"rat",21,"zeugopod"
"rat",21,"limb muscle"
"rat",21,"hindlimb muscle"
"rat",21,"musculature of limb"
"rat",21,"musculature of lower limb"
"rat",21,"pelvic appendage musculature"
"rat",21,"appendage musculature"
"rat",21,"pelvic complex muscle"
"rat",21,"musculature of pelvic complex"
"rat",21,"pelvic appendage muscle"
"human",21,"stratified epithelial cell"
"human",21,"keratinizing barrier epithelial cell"
"human",21,"stratified squamous epithelial cell"
"human",21,"keratin accumulating cell"
"human",21,"keratinocyte"
"mouse",21,"cortex of kidney"
"mouse",21,"renal parenchyma"
"rat",20,"midbrain"
"mouse",20,"serous membrane"
"mouse",20,"stomach"
"mouse",20,"uterus"
"mouse",20,"food storage organ"
"human",20,"cardiac chamber"
"human",20,"thalamic complex"
"human",20,"gray matter of diencephalon"
"mouse",20,"neuronal receptor cell"
"mouse",20,"reproductive gland"
"mouse",20,"male reproductive gland"
"human",20,"lymphoid tissue"
"mouse",20,"brainstem nucleus"
"human",20,"white matter"
"human",20,"systemic artery"
"human",20,"lower limb segment"
"mouse",20,"mature B cell"
"human",20,"multi organ part structure"
"rat",20,"peripheral nervous system"
"rat",20,"pair of lungs"
"rat",20,"respiration organ"
"rat",20,"lung"
"mouse",20,"erythroid lineage cell"
"human",20,"serous sac"
"mouse",20,"neuron associated cell (sensu Vertebrata)"
"mouse",20,"oligodendrocyte precursor cell"
"mouse",20,"anterior segment of eyeball"
"human",20,"specifically dependent continuant"
"human",20,"quality"
"mouse",20,"pro-B cell"
"rat",19,"metencephalon"
"rat",19,"retina"
"rat",19,"posterior segment of eyeball"
"rat",19,"photoreceptor array"
"rat",19,"chorioretinal region"
"mouse",19,"anatomical lobe"
"mouse",19,"systemic arterial system"
"mouse",19,"metabolising cell"
"mouse",19,"hepatocyte"
"mouse",19,"polyploid cell"
"mouse",19,"endopolyploid cell"
"human",19,"lower urinary tract"
"mouse",19,"mouth"
"mouse",19,"gland of digestive tract"
"human",19,"pigment cell"
"human",19,"spleen"
"human",19,"dorsal striatum"
"human",19,"abdominal viscera"
"human",19,"leg"
"rat",19,"nucleus accumbens"
"rat",19,"hemolymphoid system"
"mouse",19,"ventricular system of central nervous system"
"mouse",19,"vasculature of central nervous system plus retina"
"mouse",19,"vasculature of central nervous system"
"rat",19,"muscle of leg"
"rat",19,"hindlimb zeugopod"
"rat",19,"musculature of leg"
"rat",19,"vasculature"
"rat",19,"vascular system"
"rat",19,"testis"
"mouse",19,"endothelium"
"mouse",19,"muscle precursor cell"
"human",19,"tissue-resident macrophage"
"mouse",19,"epididymal fat pad"
"mouse",19,"germ layer"
"mouse",19,"germ layer / neural crest"
"mouse",19,"regulatory T cell"
"human",19,"colonic mucosa"
"mouse",19,"juvenile stage"
"mouse",19,"postnatal subventricular zone"
"mouse",19,"post-embryonic organism"
"mouse",18,"periventricular zone of hypothalamus"
"rat",18,"cardiac ventricle"
"rat",18,"cardiac chamber"
"mouse",18,"prostate gland"
"mouse",18,"male accessory sex gland"
"human",18,"post-juvenile adult stage"
"human",18,"occipital lobe"
"human",18,"frontal gyrus"
"human",18,"caudate-putamen"
"human",18,"vasculature of organ"
"rat",18,"dentate gyrus of hippocampal formation"
"rat",18,"skeletal system"
"rat",18,"hematopoietic system"
"mouse",18,"conventional dendritic cell"
"mouse",18,"brain ventricle/choroid plexus"
"mouse",18,"brain ventricle"
"mouse",18,"ventricular system of brain"
"mouse",18,"ventricle of nervous system"
"mouse",18,"cranial skeletal system"
"mouse",18,"axial skeletal system"
"human",18,"late embryonic stage"
"mouse",18,"photoreceptor cell"
"rat",18,"hindlimb zeugopod muscle"
"rat",18,"musculature of hindlimb zeugopod"
"mouse",18,"cerebellar neuron"
"mouse",18,"monocyte"
"mouse",17,"brown adipose tissue"
"mouse",17,"occipital lobe"
"mouse",17,"lobe of lung"
"mouse",17,"thoracic cavity blood vessel"
"human",17,"great vessel of heart"
"human",17,"cardiac ventricle"
"human",17,"penis"
"human",17,"intromittent organ"
"mouse",17,"quadriceps femoris"
"human",17,"urinary bladder"
"human",17,"bladder organ"
"mouse",17,"ecto-epithelial cell"
"mouse",17,"female germ cell"
"human",17,"late adult stage"
"rat",17,"hippocampal neuron"
"mouse",17,"white matter"
"human",17,"CNS neuron (sensu Vertebrata)"
"rat",17,"hypothalamic nucleus"
"rat",17,"diencephalic nucleus"
"mouse",17,"medulla oblongata"
"mouse",17,"myelencephalon"
"human",17,"compound organ component"
"human",17,"parietal lobe"
"mouse",17,"pyramidal neuron"
"human",17,"esophagus"
"human",17,"respiratory system mucosa"
"human",17,"upper digestive tract"
"human",17,"cell cluster"
"human",17,"peripheral nervous system"
"rat",17,"large intestine"
"rat",17,"muscle tissue"
"rat",17,"integumental system"
"rat",17,"skeletal element"
"rat",17,"lower digestive tract"
"mouse",17,"vestibular system"
"human",17,"rectum"
"human",17,"anal region"
"human",17,"terminal part of digestive tract"
"human",17,"internal anal region"
"mouse",17,"duct epithelial cell"
"mouse",17,"cardiocyte"
"human",17,"mesenchymal stem cell of the bone marrow"
"mouse",17,"dopaminergic neuron"
"human",17,"innate lymphoid cell"
"rat",17,"leukocyte"
"rat",17,"hematopoietic cell"
"human",17,"process"
"human",17,"biological_process"
"mouse",17,"hematopoietic multipotent progenitor cell"
"human",17,"naive T cell"
"rat",16,"gland of diencephalon"
"rat",16,"neuroendocrine gland"
"mouse",16,"ileum"
"mouse",16,"aorta"
"mouse",16,"aortic system"
"mouse",16,"great vessel of heart"
"mouse",16,"preoptic area"
"rat",16,"macroglial cell"
"mouse",16,"ganglionic eminence"
"rat",16,"periventricular zone of hypothalamus"
"human",16,"umbilical vein"
"human",16,"umbilical blood vessel"
"mouse",16,"skull"
"mouse",16,"zone of bone organ"
"mouse",16,"future central nervous system"
"mouse",16,"future nervous system"
"mouse",16,"protein secreting cell"
"mouse",16,"peritoneal macrophage"
"rat",16,"colon"
"human",16,"secretion of exocrine gland"
"human",16,"membranous layer"
"mouse",16,"cardiac muscle cell"
"human",16,"erythroid lineage cell"
"human",16,"natural killer cell"
"human",16,"group 1 innate lymphoid cell"
"mouse",16,"cerebellar cortex"
"human",16,"physical object quality"
"human",16,"plasma cell"
"human",16,"antibody secreting cell"
"mouse",16,"hippocampal neuron"
"mouse",16,"autonomic nervous system"
"mouse",15,"bladder organ"
"human",15,"smooth muscle cell"
"human",15,"non-striated muscle cell"
"human",15,"visceral muscle cell"
"human",15,"left cardiac chamber"
"human",15,"prepuce of penis"
"human",15,"prepuce"
"human",15,"myometrium"
"human",15,"layer of smooth muscle tissue"
"human",15,"umbilical cord"
"mouse",15,"oocyte"
"mouse",15,"blastula"
"mouse",15,"blastocyst"
"mouse",15,"acid secreting cell"
"mouse",15,"spinal cord motor neuron"
"human",15,"gray matter of hindbrain"
"human",15,"neuron projection bundle"
"human",15,"chordate pharynx"
"human",15,"mucosa-associated lymphoid tissue"
"human",15,"thyroid gland"
"human",15,"mouth mucosa"
"human",15,"pharynx"
"human",15,"epithelium-associated lymphoid tissue"
"human",15,"retinal cell"
"rat",15,"bone element"
"mouse",15,"cranium"
"human",15,"subdivision of skeletal system"
"mouse",15,"integumentary system layer"
"human",15,"metabolising cell"
"human",15,"hepatocyte"
"human",15,"polyploid cell"
"human",15,"endopolyploid cell"
"mouse",15,"granulocyte"
"human",15,"lung epithelium"
"mouse",15,"visual cortex"
"mouse",15,"retinal ganglion cell"
"human",15,"fibroblast of lung"
"mouse",15,"myoblast"
"human",15,"tracheal mucosa"
"human",15,"upper respiratory tract"
"mouse",15,"mammary gland epithelial cell"
"human",15,"endothelium of artery"
"human",15,"endothelial tube"
"human",15,"arterial system endothelium"
"mouse",15,"oligodendrocyte"
"human",15,"cellular process"
"rat",14,"cerebellum"
"mouse",14,"parietal lobe"
"mouse",14,"postcentral gyrus"
"mouse",14,"somatosensory cortex"
"human",14,"anterior segment of eyeball"
"human",14,"aorta"
"human",14,"thoracic cavity blood vessel"
"human",14,"aortic system"
"mouse",14,"saliva-secreting gland"
"mouse",14,"adrenal gland"
"mouse",14,"adrenal/interrenal gland"
"mouse",14,"oral gland"
"mouse",14,"chromaffin system"
"mouse",14,"stromal cell"
"mouse",14,"CA3 field of hippocampus"
"mouse",14,"cingulate cortex"
"mouse",14,"limbic cortex"
"mouse",14,"hindbrain nucleus"
"human",14,"dorsal plus ventral thalamus"
"human",14,"thymus"
"human",14,"hemolymphoid system gland"
"human",14,"cortex"
"human",14,"uterine cervix"
"human",14,"neck of organ"
"rat",14,"striated muscle tissue"
"mouse",14,"neurocranium"
"mouse",14,"chondrocranium"
"mouse",14,"primary subdivision of skull"
"mouse",14,"primary subdivision of cranial skeletal system"
"rat",14,"connective tissue cell"
"rat",14,"unilaminar epithelium"
"human",14,"cingulate cortex"
"human",14,"limbic cortex"
"mouse",14,"biogenic amine secreting cell"
"rat",14,"triceps surae"
"rat",14,"organism substance"
"mouse",14,"ventral tegmental area"
