"et.Val","ee.Taxon","N"
"CEBPG [human] CCAAT/enhancer binding protein gamma","human",3
"NFKB2 [human] nuclear factor kappa B subunit 2","human",3
"TCF12 [human] transcription factor 12","human",3
"Ripk3 [mouse] receptor-interacting serine-threonine kinase 3","mouse",3
"Rptor [mouse] regulatory associated protein of MTOR, complex 1","mouse",3
"PAX6 [human] paired box 6","human",3
"DISC1 [human] disrupted in schizophrenia 1","human",3
"Neurog2 [mouse] neurogenin 2","mouse",3
"Gnas [mouse] GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus","mouse",3
"Cdkn2c [mouse] cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)","mouse",3
"Dio2 [mouse] deiodinase, iodothyronine, type II","mouse",3
"Cx3cr1 [mouse] chemokine (C-X3-C motif) receptor 1","mouse",3
"Atxn2 [mouse] ataxin 2","mouse",3
"Tlr7 [mouse] toll-like receptor 7","mouse",3
"Tet3 [mouse] tet methylcytosine dioxygenase 3","mouse",3
"Kdm1a [mouse] lysine (K)-specific demethylase 1A","mouse",3
"Prmt5 [mouse] protein arginine N-methyltransferase 5","mouse",3
"Cbx3 [mouse] chromobox 3","mouse",3
"PTBP1 [human] polypyrimidine tract binding protein 1","human",3
"Aldh1l1 [mouse] aldehyde dehydrogenase 1 family, member L1","mouse",3
"Sox9 [mouse] SRY (sex determining region Y)-box 9","mouse",3
"Magoh [mouse] mago homolog, exon junction complex core component","mouse",3
"Satb1 [mouse] special AT-rich sequence binding protein 1","mouse",3
"Chd8 [mouse] chromodomain helicase DNA binding protein 8","mouse",3
"Thap1 [mouse] THAP domain containing, apoptosis associated protein 1","mouse",3
"Double-copy overexpression","mouse",3
"Smn1 [mouse] survival motor neuron 1","mouse",3
"Kdm6b [mouse] KDM1 lysine (K)-specific demethylase 6B","mouse",3
"Tbr1 [mouse] T-box brain gene 1","mouse",3
"Smarcc1 [mouse] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1","mouse",3
"Sox4 [mouse] SRY (sex determining region Y)-box 4","mouse",3
"Chd7 [mouse] chromodomain helicase DNA binding protein 7","mouse",3
"Gtpbp2 [mouse] GTP binding protein 2","mouse",3
"Cic [mouse] capicua transcriptional repressor","mouse",3
"Fzd4 [mouse] frizzled class receptor 4","mouse",3
"Hist2h2be [mouse] histone cluster 2, H2be","mouse",3
"Myt1l [mouse] myelin transcription factor 1-like","mouse",3
"Pou3f2 [mouse] POU domain, class 3, transcription factor 2","mouse",3
"Vegfa [mouse] vascular endothelial growth factor A","mouse",3
"Maf [mouse] avian musculoaponeurotic fibrosarcoma oncogene homolog","mouse",3
"Myt1 [mouse] myelin transcription factor 1","mouse",3
"Sox10 [mouse] SRY (sex determining region Y)-box 10","mouse",3
"Pou3f1 [mouse] POU domain, class 3, transcription factor 1","mouse",3
"Sfpq [mouse] splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)","mouse",3
"Nova2 [mouse] neuro-oncological ventral antigen 2","mouse",3
"Yap1 [mouse] yes-associated protein 1","mouse",3
"Pvalb [mouse] parvalbumin","mouse",3
"Sst [mouse] somatostatin","mouse",3
"Runx3 [mouse] runt related transcription factor 3","mouse",3
"Pomc [mouse] pro-opiomelanocortin-alpha","mouse",3
"Crhr1 [mouse] corticotropin releasing hormone receptor 1","mouse",3
"Nkx2-1 [mouse] NK2 homeobox 1","mouse",3
"Adar [mouse] adenosine deaminase, RNA-specific","mouse",3
"TAF15 [human] TATA-box binding protein associated factor 15","human",3
"Lhx5 [mouse] LIM homeobox protein 5","mouse",3
"Satb2 [mouse] special AT-rich sequence binding protein 2","mouse",3
"Gata6 [mouse] GATA binding protein 6","mouse",3
"SOX11 [human] SRY-box 11","human",3
"SMAD4 [human] SMAD family member 4","human",3
"MECOM [human] MDS1 and EVI1 complex locus","human",3
"Mtdh [mouse] metadherin","mouse",3
"ELAVL4 [human] ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)","mouse",2
"Socs3 [mouse] suppressor of cytokine signaling 3","mouse",2
"Abca1 [mouse] ATP-binding cassette, sub-family A (ABC1), member 1","mouse",2
"Fbn1 [mouse] fibrillin 1","mouse",2
"ETV7 [human] ETS variant 7","human",2
"APP [human] amyloid beta (A4) precursor protein","human",2
"Ighmbp2 [mouse] immunoglobulin mu binding protein 2","mouse",2
"Hoxb1 [mouse] homeo box B1","mouse",2
"EGR3 [human] early growth response 3","human",2
"Cacnb4 [mouse] calcium channel, voltage-dependent, beta 4 subunit","mouse",2
"Atxn7 [mouse] ataxin 7","mouse",2
"Chrnb4 [mouse] cholinergic receptor, nicotinic, beta polypeptide 4","mouse",2
"Ppt1 [mouse] palmitoyl-protein thioesterase 1","mouse",2
"Polg [mouse] polymerase (DNA directed), gamma","mouse",2
"Nfia [mouse] nuclear factor I/A","mouse",2
"BMI1 [human] BMI1 proto-oncogene, polycomb ring finger","human",2
"Fbxo15 [mouse] F-box protein 15","mouse",2
"SERPINA1 [human] serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1","mouse",2
"Hoxb4 [mouse] homeo box B4","mouse",2
"Hdac5 [mouse] histone deacetylase 5","mouse",2
"FMR1 [human] fragile X mental retardation 1","human",2
"Cldn5 [mouse] claudin 5","mouse",2
"Dgcr8 [mouse] DiGeorge syndrome critical region gene 8","mouse",2
"Terc [mouse] telomerase RNA component","mouse",2
"Chrna7 [mouse] cholinergic receptor, nicotinic, alpha polypeptide 7","mouse",2
"Sod1 [rat] superoxide dismutase 1, soluble","rat",2
"Psap [mouse] prosaposin","mouse",2
"Arx [mouse] aristaless related homeobox","mouse",2
"HDAC1 [human] histone deacetylase 1","human",2
"MAP2K7 [human] mitogen-activated protein kinase kinase 7","human",2
"Htra2 [mouse] HtrA serine peptidase 2","mouse",2
"Foxd3 [mouse] forkhead box D3","mouse",2
"Xbp1 [mouse] X-box binding protein 1","mouse",2
"Nod2 [mouse] nucleotide-binding oligomerization domain containing 2","mouse",2
"ATXN1 [human] ataxin 1","mouse",2
"silenced_gene","human",2
"Itgb1 [mouse] integrin beta 1 (fibronectin receptor beta)","mouse",2
"Npas4 [mouse] neuronal PAS domain protein 4","mouse",2
"MYC [human] v-myc myelocytomatosis viral oncogene homolog (avian)","human",2
"T cell receptor complex","mouse",2
"TWIST2 [human] twist basic helix-loop-helix transcription factor 2","human",2
"Adrb1 [mouse] adrenergic receptor, beta 1","mouse",2
"Adcy1 [mouse] adenylate cyclase 1","mouse",2
"Taf4b [mouse] TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor","mouse",2
"Pecam1 [mouse] platelet/endothelial cell adhesion molecule 1","mouse",2
"SIRT1 [human] sirtuin 1","human",2
"Ltk [mouse] leukocyte tyrosine kinase","mouse",2
"Wnt1 [mouse] wingless-type MMTV integration site family, member 1","mouse",2
"Il2ra [mouse] interleukin 2 receptor, alpha chain","mouse",2
"BALB/c","mouse",2
"THRA [human] thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)","human",2
"THRB [human] thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)","human",2
"Atrx [mouse] alpha thalassemia/mental retardation syndrome X-linked homolog (human)","mouse",2
"KIT [human] v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","human",2
"E2f4 [mouse] E2F transcription factor 4","mouse",2
"Ptprc [mouse] protein tyrosine phosphatase, receptor type, C","mouse",2
"PPARA [human] peroxisome proliferator-activated receptor alpha","human",2
"Fgfr1 [mouse] fibroblast growth factor receptor 1","mouse",2
"NF1 [human] neurofibromin 1","human",2
"RET [human] ret proto-oncogene","human",2
"SDHB [human] succinate dehydrogenase complex iron sulfur subunit B","human",2
"VHL [human] von Hippel-Lindau tumor suppressor","human",2
"Cdh5 [mouse] cadherin 5","mouse",2
"Kdr [mouse] kinase insert domain protein receptor","mouse",2
"Smad3 [mouse] MAD homolog 3 (Drosophila)","mouse",2
"Mapk1 [mouse] mitogen-activated protein kinase 1","mouse",2
"LEU3 [yeast] Leu3p","yeast",2
"Egfr [mouse] epidermal growth factor receptor","mouse",2
"supt5h [zebrafish] suppressor of Ty 5 homolog (S. cerevisiae)","zebrafish",2
"Ehmt1 [mouse] euchromatic histone methyltransferase 1","mouse",2
"Tsc2 [rat] tuberous sclerosis 2","rat",2
"Hey2 [mouse] hairy/enhancer-of-split related with YRPW motif 2","mouse",2
"Srebf1 [mouse] sterol regulatory element binding transcription factor 1","mouse",2
"MIR125B1 [human] microRNA 125b-1","human",2
"Jhdm1d [mouse] jumonji C domain-containing histone demethylase 1 homolog D (S. cerevisiae)","mouse",2
"Pitx2 [mouse] paired-like homeodomain transcription factor 2","mouse",2
"Phex [mouse] phosphate regulating gene with homologies to endopeptidases on the X chromosome (hypophosphatemia, vitamin D resistant rickets)","mouse",2
"SFP1 [yeast] Sfp1p","yeast",2
"RAD23 [yeast] Rad23p","yeast",2
"RAD4 [yeast] Rad4p","yeast",2
"Dclre1c [mouse] DNA cross-link repair 1C, PSO2 homolog (S. cerevisiae)","mouse",2
"JAK2 [human] Janus kinase 2","human",2
"Mir19b-1 [mouse] microRNA 19b-1","mouse",2
"LOC107963955 [human] BCR-ABL major-breakpoint cluster region","human",2
"E2A-PBX1 breakpoint","human",2
"Hfe [mouse] hemochromatosis","mouse",2
"TWIST1 [human] twist homolog 1 (Drosophila)","human",2
"Lmx1b [mouse] LIM homeobox transcription factor 1 beta","mouse",2
"Abcb4 [mouse] ATP-binding cassette, sub-family B (MDR/TAP), member 4","mouse",2
"Aicda [mouse] activation-induced cytidine deaminase","mouse",2
"Tlx1 [mouse] T-cell leukemia, homeobox 1","mouse",2
"Nup98 [mouse] nucleoporin 98","mouse",2
"Mmp7 [mouse] matrix metallopeptidase 7","mouse",2
"Thrb [mouse] thyroid hormone receptor beta","mouse",2
"SYK [human] spleen tyrosine kinase","human",2
"Il13 [mouse] interleukin 13","mouse",2
"daf-16 [worm] Protein DAF-16","worm",2
"Homozygous negative","worm",2
"Wt1 [mouse] Wilms tumor 1 homolog","mouse",2
"Ndrg1 [mouse] N-myc downstream regulated gene 1","mouse",2
"Mad2l1 [mouse] MAD2 mitotic arrest deficient-like 1","mouse",2
"chromosomal substitution","fly",2
"Disc1 [mouse] disrupted in schizophrenia 1","mouse",2
"PPARG [human] peroxisome proliferator activated receptor gamma","human",2
"aneuploidy","fly",2
"per [fly] period","fly",2
"Stk4 [mouse] serine/threonine kinase 4","mouse",2
"IGH [human] immunoglobulin heavy locus","human",2
"BIRC3 [human] baculoviral IAP repeat containing 3","human",2
"Zfp36 [mouse] zinc finger protein 36","mouse",2
"Apod [mouse] apolipoprotein D","mouse",2
"Nr2f1 [mouse] nuclear receptor subfamily 2, group F, member 1","mouse",2
"RFWD2 [human] ring finger and WD repeat domain 2","human",2
"Homozygous negative","zebrafish",2
"transgenic","zebrafish",2
"OLR1 [human] oxidized low density lipoprotein receptor 1","human",2
"translocation","human",2
"Lig4 [mouse] ligase IV, DNA, ATP-dependent","mouse",2
"reference subject role","fly",2
"Rara [mouse] retinoic acid receptor, alpha","mouse",2
"SLC16A2 [human] solute carrier family 16, member 2 (monocarboxylic acid transporter 8)","human",2
"Elk4 [mouse] ELK4, member of ETS oncogene family","mouse",2
"Setx [mouse] senataxin","mouse",2
"Tsc2 [mouse] tuberous sclerosis 2","mouse",2
"PIK3CA [human] phosphoinositide-3-kinase, catalytic, alpha polypeptide","human",2
"MAPK3 [human] mitogen-activated protein kinase 3","human",2
"RUNX1 [human] runt-related transcription factor 1","mouse",2
"HOXA9 [human] homeobox A9","mouse",2
"NUP98 [human] nucleoporin 98kDa","mouse",2
"Il6st [mouse] interleukin 6 signal transducer","mouse",2
"Tbx5 [mouse] T-box 5","mouse",2
"CDK6 [human] cyclin-dependent kinase 6","human",2
"Hmgn2 [mouse] high mobility group nucleosomal binding domain 2","mouse",2
"Hmgn3 [mouse] high mobility group nucleosomal binding domain 3","mouse",2
"glp-1 [worm] Protein GLP-1","worm",2
"Jarid2 [mouse] jumonji, AT rich interactive domain 2","mouse",2
"Dkk4 [mouse] dickkopf homolog 4 (Xenopus laevis)","mouse",2
"Atoh1 [mouse] atonal homolog 1 (Drosophila)","mouse",2
"Myog [mouse] myogenin","mouse",2
"Eda [mouse] ectodysplasin-A","mouse",2
"Smarcb1 [mouse] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","mouse",2
"Myb [mouse] myeloblastosis oncogene","mouse",2
"E2F3 [human] E2F transcription factor 3","human",2
"CD38 [human] CD38 molecule","human",2
"Chromosome 16","human",2
"HLA-B [human] major histocompatibility complex, class I, B","human",2
"HLA-C [human] major histocompatibility complex, class I, C","human",2
"Adgre1 [mouse] adhesion G protein-coupled receptor E1","mouse",2
"Itgam [mouse] integrin alpha M","mouse",2
"rescue_gene","mouse",2
"Scd1 [mouse] stearoyl-Coenzyme A desaturase 1","mouse",2
"N [fly] Notch","fly",2
"EcR [fly] Ecdysone receptor","fly",2
"haploid","fly",2
"CDKN2A [human] cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)","human",2
"KCNIP3 [human] Kv channel interacting protein 3, calsenilin","mouse",2
"MIR200C [human] microRNA 200c","human",2
"MIR424 [human] microRNA 424","human",2
"Cd40lg [mouse] CD40 ligand","mouse",2
"Nkx3-1 [mouse] NK-3 transcription factor, locus 1 (Drosophila)","mouse",2
"CREB1 [human] cAMP responsive element binding protein 1","human",2
"Rps6 [mouse] ribosomal protein S6","mouse",2
"Pon1 [mouse] paraoxonase 1","mouse",2
"PON1 [human] paraoxonase 1","mouse",2
"Irs1 [mouse] insulin receptor substrate 1","mouse",2
"MYC [human] v-myc myelocytomatosis viral oncogene homolog (avian)","mouse",2
"MYC [human] v-myc avian myelocytomatosis viral oncogene homolog","mouse",2
"BCOR [human] BCL6 corepressor","human",2
"Ash2l [mouse] ash2 (absent, small, or homeotic)-like (Drosophila)","mouse",2
"CDK7 [human] cyclin dependent kinase 7","human",2
"CDKN2C [human] cyclin dependent kinase inhibitor 2C","human",2
"CDC37 [human] cell division cycle 37","human",2
"GABARAP [human] GABA type A receptor-associated protein","human",2
"PIK3CB [human] phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","human",2
"CCNB2 [human] cyclin B2","human",2
"HDAC5 [human] histone deacetylase 5","human",2
"CENPE [human] centromere protein E","human",2
"CENPF [human] centromere protein F","human",2
"E2F5 [human] E2F transcription factor 5","human",2
"ERF [human] ETS2 repressor factor","human",2
"FOXP1 [human] forkhead box P1","human",2
"MAX [human] MYC associated factor X","human",2
"POLR2A [human] RNA polymerase II subunit A","human",2
"ATR [human] ATR serine/threonine kinase","human",2
"FOXJ2 [human] forkhead box J2","human",2
"TOP2A [human] DNA topoisomerase II alpha","human",2
"CCNG2 [human] cyclin G2","human",2
"ARHGEF1 [human] Rho guanine nucleotide exchange factor 1","human",2
"CDC20 [human] cell division cycle 20","human",2
"CDC25A [human] cell division cycle 25A","human",2
"CDC34 [human] cell division cycle 34","human",2
"ANGPT1 [human] angiopoietin 1","human",2
"Foxa1 [mouse] forkhead box A1","mouse",2
"Bcl11b [mouse] B-cell leukemia/lymphoma 11B","mouse",2
"Rrn3 [mouse] RRN3 RNA polymerase I transcription factor homolog (yeast)","mouse",2
"UME1 [yeast] Ume1p","yeast",2
"Fxn [mouse] frataxin","mouse",2
"Des [mouse] desmin","mouse",2
"CXCR4 [human] C-X-C motif chemokine receptor 4","human",2
"Ntf3 [mouse] neurotrophin 3","mouse",2
"Sod2 [mouse] superoxide dismutase 2, mitochondrial","mouse",2
"ZNF804A [human] zinc finger protein 804A","human",2
"EP300 [human] E1A binding protein p300","human",2
"Nes [mouse] nestin","mouse",2
"Il6 [mouse] interleukin 6","mouse",2
"SOD1 [human] superoxide dismutase 1, soluble","human",2
"TAF1 [human] TATA-box binding protein associated factor 1","human",2
"GFAP [human] glial fibrillary acidic protein","mouse",2
"Glud1 [mouse] glutamate dehydrogenase 1","mouse",2
"CD44 [human] CD44 molecule (Indian blood group)","human",2
"Fosb [mouse] FBJ osteosarcoma oncogene B","mouse",2
"diploid","human",2
"Elavl4 [mouse] ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)","mouse",2
"Dcx [mouse] doublecortin","mouse",2
"Slc6a4 [mouse] solute carrier family 6 (neurotransmitter transporter, serotonin), member 4","mouse",2
"Bdnf [mouse] brain derived neurotrophic factor","mouse",2
"RPD3 [yeast] Rpd3p","yeast",2
"MSN4 [yeast] Msn4p","yeast",2
"MSN2 [yeast] Msn2p","yeast",2
"Overexpressor strain","yeast",2
"Psen1 [mouse] presenilin 1","mouse",2
"sox2 [zebrafish] SRY-box containing gene 2","zebrafish",2
"Knockdown","zebrafish",2
"lin-35 [worm] Protein LIN-35","worm",2
"lin-54 [worm] Protein LIN-54","worm",2
"Mpz [mouse] myelin protein zero","mouse",2
"Irf4 [mouse] interferon regulatory factor 4","mouse",2
"Smarcc2 [mouse] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2","mouse",2
"gene knock out","mouse",2
"Klf15 [mouse] Kruppel-like factor 15","mouse",2
"Mbnl2 [mouse] muscleblind-like 2","mouse",2
"Cdk8 [mouse] cyclin-dependent kinase 8","mouse",2
"Mir221 [mouse] microRNA 221","mouse",2
"SV40gp6 [simian virus 40] large T antigen","mouse",2
"Bcl2l1 [mouse] BCL2-like 1","mouse",2
"Bhlhe40 [mouse] basic helix-loop-helix family, member e40","mouse",2
"ahcy [zebrafish] S-adenosylhomocysteine hydrolase","zebrafish",2
"Lyl1 [mouse] lymphoblastomic leukemia 1","mouse",2
"SNF1 [yeast] Snf1p","yeast",2
"ALK [human] anaplastic lymphoma receptor tyrosine kinase","human",2
"Kdm3a [mouse] lysine (K)-specific demethylase 3A","mouse",2
"Sry [mouse] sex determining region of Chr Y","mouse",2
"Ntrk2 [mouse] neurotrophic tyrosine kinase, receptor, type 2","mouse",2
"YAP1 [yeast] Yap1p","yeast",2
"Sarm1 [mouse] sterile alpha and HEAT/Armadillo motif containing 1","mouse",2
"HNRNPA2B1 [human] heterogeneous nuclear ribonucleoprotein A2/B1","human",2
"HNRNPF [human] heterogeneous nuclear ribonucleoprotein F","human",2
"HNRNPH1 [human] heterogeneous nuclear ribonucleoprotein H1 (H)","human",2
"HNRNPU [human] heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)","human",2
"Malt1 [mouse] mucosa associated lymphoid tissue lymphoma translocation gene 1","mouse",2
"ATF3 [human] activating transcription factor 3","human",2
"BAP1 [human] BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)","human",2
"SNAI2 [human] snail family zinc finger 2","human",2
